user_id,is_gone
12,0.42870587089097323
13,1.0
15,0.58
21,0.94
35,0.26
45,0.3168081469279987
55,0.5248333333333332
58,0.48083333333333333
62,0.09189211644049104
74,0.7033333333333333
81,0.1681601950785369
102,1.0
105,0.21094998952830818
112,0.38482663070587236
113,0.8433333333333333
119,0.99
124,0.47600000000000003
140,0.26
141,0.19965149696446363
150,0.3054948897924122
162,0.3168081469279987
164,0.15
167,0.03083333333333333
177,0.7308928571428572
186,1.0
195,0.92
198,0.92
200,0.99
204,0.11666666666666665
207,0.99
208,1.0
212,0.24853694215231134
235,0.5932142857142858
242,0.42
248,0.52
253,0.88
260,0.070625
261,0.6986666666666665
271,0.7883333333333334
298,0.635
303,0.5126785714285715
324,0.35965178797874486
328,0.0
331,0.1538565009135616
335,0.06333333333333332
341,0.685
355,0.5441666666666667
363,0.36
367,0.33504528597363714
373,0.02583333333333333
391,1.0
409,1.0
411,0.5097593240093241
417,0.0
424,0.3010555987240451
430,0.47
448,0.0
460,0.3168081469279987
465,0.6823095238095237
467,0.96
474,0.88
486,0.39
498,1.0
530,0.99
557,0.31781669719169714
561,0.9458333333333333
565,0.8736666666666666
567,0.6342261904761903
570,0.19965149696446363
574,0.3010555987240451
575,0.0
578,0.4644642857142856
586,0.99
593,0.3198976033998488
599,0.3274999999999999
601,1.0
602,0.32653329747643217
613,0.0
659,0.27423429194537896
664,1.0
672,0.21330158730158733
683,0.0
693,0.3238170726332491
704,0.19965149696446363
723,0.1681601950785369
725,0.0
739,0.19700735138677725
744,0.33444149831649833
747,0.3054948897924122
754,0.865
765,1.0
770,0.87
804,0.48
837,0.26599999999999996
880,0.1681601950785369
886,0.98
898,0.6630000000000001
901,1.0
904,1.0
920,0.8925
953,0.1538565009135616
960,0.97
970,0.97
972,0.0
980,1.0
988,0.5564999999999998
1003,0.4718297258297259
1041,0.09913833948518583
1044,0.3168081469279987
1049,1.0
1054,0.3054948897924122
1061,0.8066666666666668
1087,0.7
1092,0.38482663070587236
1100,0.3054948897924122
1134,0.56
1137,0.34277576715890695
1145,0.01
1149,0.28755615872604345
1153,0.605
1154,0.02583333333333333
1156,0.585
1164,0.86
1171,0.3916666666666667
1187,1.0
1211,0.24027540932888644
1245,0.2578784412107537
